Duolingo_Category	Simplified Chinese	Traditional Chinese	Pinyin	English Definition
Family 2	子		zǐ   zi	son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位 / ancient Chinese compass point: 0° (north)  (noun suffix)
Family 2	女儿	女兒	nǚ ér	daughter
Family 2	儿子	兒子	ér zi	son
Family 2	岁	歲	suì	classifier for years (of age) / year / year (of crop harvests)
Family 2	女		nǚ	female / woman / daughter
Family 2	儿	兒	ér   r	child / son  non-syllabic diminutive suffix / retroflex final
Family 2	妻子		qī zǐ   qī zi	wife and children  wife / CL: 個｜个
Family 2	丈夫		zhàng fu	husband / CL: 個｜个
Family 2	妻		qī   qì	wife  to marry off (a daughter)
Family 2	丈		zhàng	measure of length, ten Chinese feet (3.3 m) / to measure / husband / polite appellation for an older male
Family 2	夫		fū   fú	husband / man / manual worker / conscripted laborer (old)  (classical) this, that / he, she, they / (exclamatory final particle) / (initial particle, introduces an opinion)
Family 2	猫	貓	māo	cat / CL: 隻｜只 / (dialect) to hide oneself / (coll.) modem
Family 2	它		tā	it
Family 2	狗		gǒu	dog / CL: 隻｜只, 條｜条
Telephone	喂		wéi   wèi   wèi	hello (when answering the phone)  hey / to feed (an animal, baby, invalid etc)  to feed
Telephone	慢		màn	slow
Telephone	一点儿		yī diǎnr	erhua variant of 一點｜一点
Telephone	快		kuài	rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plainspoken / gratified / pleased / pleasant
Telephone	得		dé   de   děi	to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished  structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc  to have to / must / ought to / to need to
Telephone	明白		míng bai	clear / obvious / unequivocal / to understand / to realize
Telephone	白		Bái   bái	surname Bai  white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera
People 1	漂亮		piào liang	pretty / beautiful
People 1	高		Gāo   gāo	surname Gao  high / tall / above average / loud / your (honorific)
People 1	漂		piāo   piǎo   piào	to float / to drift  to bleach  elegant / polished
People 1	亮		liàng	bright / clear / resonant / to shine / to show / to reveal
People 1	朋友		péng you	friend / CL: 個｜个, 位
People 1	男		nán	male / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个
People 1	矮		ǎi	low / short (in length)
People 1	朋		péng	friend
People 1	友		yǒu	friend
People 1	女		nǚ	female / woman / daughter
People 1	可爱	可愛	kě ài	adorable / cute / lovely
People 1	非常		fēi cháng	very / very much / unusual / extraordinary
People 1	可		kě   kè	can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very  see 可汗
People 1	非		Fēi   fēi	abbr. for 非洲, Africa  to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must
People 1	常		Cháng   cháng	surname Chang  always / ever / often / frequently / common / general / constant
Time 2	上午		shàng wǔ	morning / CL: 個｜个
Time 2	分		fēn   fèn	to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money)  part / share / ingredient / component
Time 2	下午		xià wǔ	afternoon / CL: 個｜个 / p.m.
Time 2	晚上		wǎn shang	evening / night / CL: 個｜个 / in the evening
Time 2	午		wǔ	7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)
Time 2	晚		wǎn	evening / night / late
Time 2	下		xià	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action
Time 2	每		měi	each / every
Time 2	中午		zhōng wǔ	noon / midday / CL: 個｜个
Time 2	周末	週末	zhōu mò	weekend
Time 2	天		tiān	day / sky / heaven
Time 2	周		Zhōu   zhōu   zhōu	surname Zhou / Zhou Dynasty (1046-256 BC)  to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially  week / weekly / variant of 周
Time 2	末		mò	tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man
Time 2	昨天		zuó tiān	yesterday
Time 2	上		shǎng   shàng	see 上聲｜上声  on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)
Time 2	了		le   liǎo   liǎo	(modal particle intensifying preceding clause) / (completed action marker)  to finish / to achieve / variant of 瞭｜了 / to understand clearly  (of eyes) bright / clear-sighted / to understand clearly
Time 2	做		zuò	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance
Time 2	昨		zuó	yesterday
Time 2	今年		jīn nián	this year
Time 2	去年		qù nián	last year
Time 2	明年		míng nián	next year
Time 2	下		xià	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action
Time 2	会	會	huì   kuài	can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3])  to balance an account / accountancy / accounting
Time 2	去		qù	to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)
Location 3	旁边	旁邊	páng biān	lateral / side / to the side / beside
Location 3	左边	左邊	zuǒ bian	left / the left side / to the left of
Location 3	右边	右邊	yòu bian	right side / right, to the right
Location 3	旁		páng	beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic
Location 3	左		Zuǒ   zuǒ	surname Zuo  left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐
Location 3	右		yòu	right (-hand) / the Right (politics) / west (old)
Location 3	边	邊	biān   bian	side / edge / margin / border / boundary / CL: 個｜个 / simultaneously  suffix of a noun of locality
